date,region,reason
2021-12-29,Delhi,Economy
2020-04-09,Hyderabad,Economy
2020-05-20,Delhi,Health
2020-08-12,Chennai,Health
1990-10-07,Delhi,Election
2022-09-20,Mumbai,Economy
2020-07-12,Mumbai,Economy
2021-01-23,Mumbai,Economy
2022-04-26,Chennai,Health
2020-01-17,Hyderabad,Natural Calamity
2019-04-20,Mumbai,Natural Calamity
2020-04-13,Pune,Natural Calamity
2018-01-01,Delhi,Health
1910-11-26,Bangalore,Election
2022-08-28,Mumbai,Health
2021-01-01,Lucknow,Natural Calamity
1995-04-30,Mumbai,Natural Calamity
2021-06-15,Mumbai,Election
1969-06-10,Delhi,Health
2018-02-16,Delhi,Social Issues
2017-10-10,Delhi,Health
2021-01-01,Mumbai,Health
2018-12-29,Hyderabad,Natural Calamity
2019-05-06,Chennai,Election
2021-01-05,Bangalore,Health
2022-08-22,Ahmedabad,Natural Calamity
2019-08-26,Hyderabad,Economy
2020-07-06,Pune,Social Issues
2021-05-04,Bangalore,Economy
2019-10-19,Delhi,Economy
2020-05-12,Chennai,Health
1979-02-18,Mumbai,Economy
2019-09-18,Kolkata,Health
2018-01-24,Pune,Economy
2020-07-18,Bangalore,Natural Calamity
2021-03-15,Chennai,Economy
2020-07-20,Delhi,Economy
2021-10-28,Mumbai,Economy
2020-11-15,Mumbai,Social Issues
2021-01-04,Lucknow,Election
1971-01-20,Lucknow,Social Issues
1971-04-10,Delhi,Natural Calamity
2022-04-25,Bangalore,Health
2021-06-08,Delhi,Election
2021-09-02,Kolkata,Economy
2021-04-01,Jaipur,Health
2020-05-05,Hyderabad,Health
2022-05-26,Mumbai,Election
2019-06-04,Ahmedabad,Economy
2020-02-19,Delhi,Economy
2010-03-16,Jaipur,Economy
1987-05-26,Delhi,Health
2022-09-20,Ahmedabad,Natural Calamity
2022-09-22,Delhi,Health
2018-05-18,Delhi,Health
2020-04-04,Mumbai,Health
2020-03-03,Delhi,Social Issues
2020-04-18,Hyderabad,Health
2020-03-31,Mumbai,Natural Calamity
2019-01-21,Kolkata,Economy
2021-10-30,Delhi,Economy
2020-03-02,Bangalore,Health
2019-05-25,Delhi,Election
1982-02-08,Hyderabad,Natural Calamity
2022-05-24,Ahmedabad,Health
2020-01-26,Delhi,Election
2019-06-28,Delhi,Social Issues
2020-08-18,Bangalore,Natural Calamity
2022-03-08,Mumbai,Natural Calamity
2020-06-12,Bangalore,Economy
2021-04-07,Mumbai,Economy
2022-09-18,Delhi,Election
2021-12-13,Hyderabad,Social Issues
2021-04-17,Bangalore,Election
2020-03-26,Bangalore,Social Issues
2018-05-07,Bangalore,Natural Calamity
2020-05-12,Mumbai,Health
2020-11-26,Pune,Economy
2021-07-01,Kolkata,Election
2018-03-07,Hyderabad,Economy
2018-06-22,Mumbai,Social Issues
2020-07-26,Delhi,Health
2022-05-01,Hyderabad,Economy
2023-04-15,Delhi,Economy
2019-11-19,Delhi,Health
1998-01-20,Mumbai,Economy
2019-04-15,Mumbai,Economy
2020-05-26,Mumbai,Economy
2015-06-15,Delhi,Health
2021-03-24,Bangalore,Economy
2017-07-13,Chennai,Natural Calamity
2019-03-20,Delhi,Health
2020-03-16,Delhi,Natural Calamity
2021-07-07,Delhi,Health
2020-02-16,Bangalore,Economy
2021-01-16,Delhi,Economy
2021-04-02,Chennai,Economy
1988-01-31,Kolkata,Economy
2021-09-21,Hyderabad,Natural Calamity
2017-01-20,Mumbai,Natural Calamity
1998-02-23,Pune,Economy
2017-09-15,Pune,Economy
2020-10-31,Mumbai,Economy
2021-09-17,Mumbai,Natural Calamity
2021-04-12,Pune,Election
2017-09-19,Mumbai,Social Issues
2020-01-14,Bangalore,Economy
2021-01-23,Mumbai,Social Issues
2020-04-19,Mumbai,Health
2023-01-19,Mumbai,Economy
1993-08-31,Mumbai,Natural Calamity
2022-07-05,Delhi,Economy
2020-09-22,Mumbai,Election
2021-03-07,Pune,Economy
2022-04-13,Mumbai,Health
2021-02-13,Delhi,Natural Calamity
2021-04-23,Jaipur,Economy
2017-12-05,Ahmedabad,Economy
2021-01-14,Delhi,Health
2013-06-07,Hyderabad,Economy
2004-09-02,Chennai,Natural Calamity
2020-03-21,Bangalore,Economy
2020-09-29,Bangalore,Natural Calamity
2021-07-15,Delhi,Economy
2020-08-19,Delhi,Election
2021-03-10,Lucknow,Economy
2017-04-29,Bangalore,Social Issues
2020-03-25,Mumbai,Natural Calamity
2021-07-12,Delhi,Election
2019-01-25,Mumbai,Economy
2020-07-24,Hyderabad,Social Issues
2022-03-15,Mumbai,Economy
2021-03-10,Chennai,Election
2017-05-09,Delhi,Health
2022-03-28,Pune,Economy
2020-09-19,Ahmedabad,Health
2019-12-10,Mumbai,Health
2020-12-09,Delhi,Economy
2019-08-01,Mumbai,Election
2021-08-12,Delhi,Election
2021-04-19,Delhi,Health
2020-12-14,Delhi,Election
2014-08-28,Mumbai,Economy
2021-11-25,Delhi,Economy
2022-04-08,Delhi,Social Issues
2021-02-19,Bangalore,Economy
1950-04-25,Delhi,Economy
2022-05-04,Mumbai,Economy
2023-01-27,Bangalore,Economy
2017-11-22,Delhi,Economy
2016-08-04,Kolkata,Health
2020-03-29,Kolkata,Health
2020-07-14,Lucknow,Election
2020-07-13,Bangalore,Election
2022-01-08,Delhi,Health
2017-08-01,Delhi,Economy
2022-01-22,Lucknow,Economy
2021-12-03,Mumbai,Election
2021-06-21,Delhi,Health
2022-09-13,Lucknow,Health
2021-10-19,Hyderabad,Natural Calamity
2021-08-05,Bangalore,Election
2021-10-22,Delhi,Economy
2018-04-26,Mumbai,Economy
2021-01-18,Delhi,Election
2021-11-15,Delhi,Economy
2019-08-29,Hyderabad,Health
2018-06-03,Mumbai,Health
2022-02-27,Bangalore,Economy
2022-04-04,Delhi,Health
2013-07-28,Hyderabad,Economy
2022-04-24,Chennai,Economy
2022-05-21,Delhi,Social Issues
2019-01-27,Delhi,Economy
1972-05-13,Delhi,Economy
2020-09-28,Hyderabad,Economy
2020-07-01,Kolkata,Economy
2022-04-18,Bangalore,Social Issues
2022-11-11,Bangalore,Health
2022-01-11,Mumbai,Economy
2020-02-14,Hyderabad,Election
2021-06-01,Hyderabad,Natural Calamity
2019-09-16,Lucknow,Health
2021-07-18,Mumbai,Economy
2016-01-10,Hyderabad,Health
2022-03-13,Bangalore,Economy
1910-11-12,Mumbai,Election
1994-09-20,Bangalore,Social Issues
2015-01-03,Hyderabad,Health
2022-08-19,Mumbai,Economy
2022-11-12,Lucknow,Election
2020-08-05,Jaipur,Natural Calamity
2014-01-07,Delhi,Economy
1982-01-01,Kolkata,Social Issues
1903-07-29,Delhi,Social Issues
2020-01-28,Delhi,Natural Calamity
2022-12-01,Mumbai,Health
2020-03-21,Delhi,Economy
2020-03-12,Mumbai,Election
2021-03-26,Ahmedabad,Election
2019-03-04,Mumbai,Social Issues
2020-12-15,Mumbai,Social Issues
2021-01-26,Hyderabad,Natural Calamity
2020-09-15,Bangalore,Economy
2022-08-21,Hyderabad,Health
2019-05-18,Delhi,Natural Calamity
2016-09-25,Kolkata,Natural Calamity
2020-06-17,Delhi,Health
2021-07-10,Delhi,Health
2022-06-28,Mumbai,Economy
2021-03-13,Chennai,Economy
2021-09-05,Delhi,Health
2022-06-29,Bangalore,Economy
2022-05-24,Ahmedabad,Health
2021-09-01,Delhi,Health
2020-06-09,Mumbai,Natural Calamity
2020-11-19,Bangalore,Economy
2021-06-15,Pune,Economy
2021-07-26,Bangalore,Economy
2021-08-30,Delhi,Social Issues
2022-05-22,Mumbai,Economy
2020-01-15,Kolkata,Economy
2021-05-24,Delhi,Economy
2022-04-19,Hyderabad,Economy
2021-01-31,Chennai,Economy
2022-05-03,Mumbai,Economy
2021-02-28,Delhi,Economy
2020-03-13,Delhi,Social Issues
2021-09-02,Chennai,Natural Calamity
2019-06-02,Mumbai,Economy
2021-02-28,Bangalore,Economy
2021-02-24,Delhi,Social Issues
2022-05-29,Mumbai,Natural Calamity
2022-04-23,Mumbai,Election
2021-07-03,Kolkata,Election
2018-08-21,Bangalore,Economy
2020-04-23,Lucknow,Economy
2021-08-04,Mumbai,Health
2019-09-29,Pune,Economy
2023-01-01,Delhi,Election
2022-06-14,Hyderabad,Election
2020-03-07,Hyderabad,Natural Calamity
2022-09-28,Mumbai,Health
2021-02-12,Delhi,Economy
2022-08-22,Pune,Social Issues
1970-01-01,Hyderabad,Economy
2021-09-08,Bangalore,Health
2022-10-01,Mumbai,Natural Calamity
2021-06-08,Bangalore,Health
2019-02-16,Mumbai,Natural Calamity
2020-04-04,Delhi,Natural Calamity
2020-05-12,Mumbai,Economy
2022-01-16,Delhi,Election
2019-07-09,Hyderabad,Election
2020-06-09,Delhi,Health
2020-09-15,Mumbai,Economy
2020-02-19,Mumbai,Economy
2020-06-06,Delhi,Economy
2021-02-11,Delhi,Economy
2021-06-02,Mumbai,Election
2020-09-24,Delhi,Health
2022-09-12,Delhi,Economy
2018-06-07,Ahmedabad,Election
2021-08-02,Bangalore,Economy
1962-08-05,Chennai,Health
2019-04-28,Kolkata,Election
2020-06-06,Pune,Social Issues
2018-04-27,Delhi,Health
2022-02-07,Delhi,Natural Calamity
1999-10-29,Pune,Natural Calamity
1998-11-11,Delhi,Health
2022-09-25,Hyderabad,Natural Calamity
2021-05-23,Hyderabad,Social Issues
2013-12-26,Mumbai,Natural Calamity
2021-07-08,Mumbai,Natural Calamity
2022-12-02,Lucknow,Economy
2018-06-25,Delhi,Health
2015-10-29,Pune,Health
2021-05-20,Kolkata,Economy
2022-06-23,Ahmedabad,Election
2020-04-03,Delhi,Natural Calamity
2020-02-08,Hyderabad,Economy
2020-09-17,Hyderabad,Health
2022-04-12,Ahmedabad,Natural Calamity
2019-09-01,Mumbai,Economy
2020-01-01,Delhi,Economy
2021-10-15,Delhi,Health
2022-11-16,Kolkata,Social Issues
2018-09-28,Pune,Economy
2020-10-14,Chennai,Economy
2019-07-27,Bangalore,Social Issues
2018-03-05,Delhi,Economy
2021-06-21,Pune,Health
2022-02-07,Bangalore,Election
2022-09-08,Ahmedabad,Social Issues
2021-11-23,Mumbai,Economy
2021-12-05,Mumbai,Health
2021-10-21,Delhi,Social Issues
2022-07-22,Delhi,Natural Calamity
2021-01-16,Delhi,Health
2016-11-08,Bangalore,Economy
1995-05-08,Mumbai,Economy
2021-05-27,Delhi,Natural Calamity
2020-11-20,Ahmedabad,Economy
2022-02-03,Delhi,Social Issues
2022-03-03,Delhi,Social Issues
2020-06-01,Delhi,Election
2022-04-15,Delhi,Natural Calamity
2020-12-30,Delhi,Economy
2022-04-20,Delhi,Economy
2019-06-18,Lucknow,Health
2018-05-22,Bangalore,Social Issues
2020-06-21,Delhi,Social Issues
2022-07-04,Kolkata,Economy
2021-02-26,Ahmedabad,Election
2008-11-04,Bangalore,Health
2020-08-24,Delhi,Economy
2020-03-25,Bangalore,Natural Calamity
1993-11-24,Kolkata,Economy
2019-08-11,Bangalore,Economy
2020-03-17,Mumbai,Election
2020-06-25,Delhi,Health
2022-04-30,Delhi,Health
2021-07-13,Pune,Natural Calamity
2020-11-23,Bangalore,Economy
2019-08-23,Mumbai,Economy
2019-01-12,Mumbai,Social Issues
2020-05-03,Mumbai,Health
2020-06-25,Mumbai,Social Issues
2013-11-25,Mumbai,Health
2018-01-12,Pune,Economy
2021-05-14,Hyderabad,Economy
2015-05-23,Hyderabad,Economy
2019-08-05,Mumbai,Health
2021-04-26,Delhi,Health
1980-01-24,Hyderabad,Social Issues
2021-05-13,Kolkata,Natural Calamity
2022-05-10,Mumbai,Election
2017-08-27,Mumbai,Social Issues
2021-06-22,Mumbai,Economy
2022-05-01,Lucknow,Health
2021-08-01,Ahmedabad,Economy
1996-12-11,Mumbai,Natural Calamity
2020-07-12,Delhi,Health
2020-11-18,Bangalore,Health
1906-04-15,Mumbai,Election
2022-02-18,Delhi,Natural Calamity
2017-10-10,Delhi,Election
2021-06-07,Pune,Health
2021-05-10,Delhi,Economy
2020-06-14,Ahmedabad,Economy
2018-08-31,Hyderabad,Economy
2020-06-08,Delhi,Health
2022-10-07,Mumbai,Natural Calamity
2019-06-11,Ahmedabad,Economy
2020-08-12,Delhi,Health
2020-07-15,Hyderabad,Natural Calamity
2011-01-05,Delhi,Natural Calamity
2021-03-22,Mumbai,Health
2019-02-03,Pune,Social Issues
2020-10-02,Mumbai,Economy
1982-06-30,Delhi,Social Issues
2020-10-02,Bangalore,Economy
2021-03-26,Kolkata,Social Issues
2014-06-29,Delhi,Economy
2018-04-25,Hyderabad,Health
1971-08-15,Mumbai,Social Issues
2020-08-31,Pune,Election
2020-08-07,Pune,Social Issues
2020-08-17,Kolkata,Natural Calamity
1999-10-17,Delhi,Social Issues
2021-01-04,Chennai,Economy
2020-05-09,Delhi,Health
2018-04-16,Mumbai,Economy
2023-03-23,Mumbai,Economy
2021-01-20,Delhi,Election
2015-07-23,Mumbai,Economy
2020-07-07,Hyderabad,Social Issues
2020-12-10,Jaipur,Economy
2022-07-29,Ahmedabad,Natural Calamity
2014-09-17,Mumbai,Economy
2019-08-31,Delhi,Health
2021-12-03,Delhi,Economy
2020-03-29,Mumbai,Economy
2018-09-02,Bangalore,Economy
2022-07-05,Delhi,Economy
2022-08-23,Hyderabad,Economy
2020-09-28,Delhi,Election
2018-11-25,Mumbai,Social Issues
2018-09-19,Mumbai,Social Issues
2022-07-02,Delhi,Election
2022-06-01,Mumbai,Economy
2022-04-18,Delhi,Health
2020-06-03,Lucknow,Natural Calamity
1992-05-01,Pune,Economy
2023-01-10,Delhi,Health
2020-06-22,Chennai,Health
2020-11-23,Ahmedabad,Economy
2020-09-12,Mumbai,Economy
2022-01-28,Delhi,Election
2020-08-21,Bangalore,Economy
2021-05-19,Delhi,Economy
2017-02-17,Pune,Social Issues
1998-02-14,Mumbai,Social Issues
2019-05-02,Pune,Election
1994-07-24,Mumbai,Economy
2021-07-28,Bangalore,Health
2021-03-03,Mumbai,Economy
2019-10-09,Bangalore,Health
2018-04-01,Mumbai,Natural Calamity
2017-10-31,Hyderabad,Economy
2022-01-31,Delhi,Election
2022-06-13,Hyderabad,Natural Calamity
2018-09-03,Chennai,Health
2018-01-05,Pune,Economy
2020-06-16,Bangalore,Social Issues
2021-06-11,Bangalore,Natural Calamity
2022-09-13,Delhi,Health
2020-11-29,Chennai,Natural Calamity
2020-12-01,Pune,Natural Calamity
2021-05-19,Delhi,Election
2021-07-25,Mumbai,Social Issues
2021-09-04,Delhi,Economy
2021-11-09,Bangalore,Health
2020-10-19,Mumbai,Economy
2021-08-27,Delhi,Election
2020-06-03,Bangalore,Natural Calamity
2021-11-10,Hyderabad,Social Issues
2017-05-07,Mumbai,Economy
2021-01-31,Ahmedabad,Natural Calamity
2021-01-22,Bangalore,Natural Calamity
2021-04-12,Mumbai,Natural Calamity
2017-07-09,Mumbai,Economy
2022-07-24,Delhi,Social Issues
2022-07-24,Hyderabad,Economy
2018-08-11,Delhi,Social Issues
1974-05-25,Ahmedabad,Election
2021-08-15,Chennai,Economy
2021-01-20,Mumbai,Economy
2021-09-15,Delhi,Social Issues
2019-11-29,Kolkata,Economy
1903-08-04,Delhi,Natural Calamity
2021-06-23,Mumbai,Economy
2022-03-16,Ahmedabad,Economy
2022-03-19,Delhi,Economy
2020-04-11,Mumbai,Health
2020-04-25,Kolkata,Election
2021-04-03,Mumbai,Natural Calamity
2022-04-21,Mumbai,Economy
2017-10-09,Mumbai,Natural Calamity
2020-03-10,Delhi,Social Issues
2022-07-11,Mumbai,Election
2021-06-16,Bangalore,Economy
2021-04-19,Delhi,Natural Calamity
2020-04-18,Delhi,Economy
2023-03-14,Bangalore,Health
2014-09-24,Mumbai,Social Issues
2020-02-06,Delhi,Economy
2022-04-09,Hyderabad,Social Issues
2021-08-27,Chennai,Health
2022-08-04,Hyderabad,Social Issues
2022-02-18,Ahmedabad,Economy
2017-10-11,Delhi,Health
2022-07-02,Delhi,Election
2020-09-06,Bangalore,Economy
2017-08-08,Mumbai,Natural Calamity
2020-08-02,Bangalore,Economy
2019-11-24,Hyderabad,Election
2021-01-24,Lucknow,Economy
2021-01-03,Jaipur,Health
2021-05-19,Delhi,Health
2020-06-17,Mumbai,Natural Calamity
2022-09-24,Hyderabad,Election
2021-01-16,Delhi,Economy
2023-04-18,Mumbai,Natural Calamity
2021-02-09,Delhi,Social Issues
2021-02-28,Delhi,Natural Calamity
2022-05-22,Delhi,Economy
2020-12-30,Hyderabad,Election
2020-10-18,Ahmedabad,Economy
2014-07-17,Delhi,Election
2020-06-14,Mumbai,Health
2016-04-24,Delhi,Health
2021-08-09,Lucknow,Election
2020-06-02,Ahmedabad,Economy
2022-06-21,Pune,Natural Calamity
2020-11-24,Delhi,Economy
2020-04-28,Hyderabad,Economy
2019-05-18,Delhi,Economy
2021-04-17,Delhi,Health
2020-09-23,Kolkata,Health
2021-05-31,Bangalore,Economy
2021-07-06,Bangalore,Economy
2018-05-03,Bangalore,Election
2019-01-09,Delhi,Economy
2021-02-26,Delhi,Social Issues
2021-04-17,Delhi,Economy
2020-12-21,Ahmedabad,Election
2020-09-27,Jaipur,Election
1965-08-23,Ahmedabad,Economy
2020-08-28,Pune,Social Issues
2013-04-01,Delhi,Economy
2022-09-14,Pune,Health
2019-03-15,Kolkata,Economy
1972-02-28,Ahmedabad,Natural Calamity
2018-01-21,Ahmedabad,Health
2021-04-10,Pune,Health
1977-03-28,Delhi,Election
1993-03-03,Mumbai,Social Issues
2022-08-16,Bangalore,Social Issues
1911-08-01,Pune,Economy
2020-04-01,Mumbai,Social Issues
1924-07-21,Bangalore,Economy
2015-08-12,Delhi,Social Issues
2020-03-07,Lucknow,Health
2022-01-04,Delhi,Economy
2021-04-28,Mumbai,Health
2014-03-28,Pune,Social Issues
2018-06-12,Delhi,Economy
2022-05-20,Delhi,Natural Calamity
2020-04-23,Lucknow,Natural Calamity
2020-04-09,Delhi,Health
2021-12-08,Bangalore,Economy
2020-05-30,Bangalore,Health
2022-03-08,Mumbai,Health
2020-09-14,Delhi,Economy
2020-09-03,Mumbai,Economy
2018-11-03,Delhi,Health
2021-03-31,Bangalore,Election
2020-05-04,Mumbai,Economy
2021-04-23,Chennai,Economy
2021-10-29,Mumbai,Health
2022-04-13,Delhi,Economy
2020-05-08,Kolkata,Social Issues
2022-04-01,Mumbai,Natural Calamity
2020-12-10,Bangalore,Election
2020-10-01,Hyderabad,Health
2020-11-07,Delhi,Health
2019-12-11,Mumbai,Health
2021-11-20,Delhi,Economy
2019-04-23,Delhi,Natural Calamity
2021-11-29,Delhi,Economy
2021-02-08,Delhi,Health
2022-03-05,Mumbai,Economy
2018-01-18,Pune,Economy
2021-06-02,Hyderabad,Economy
2021-10-07,Kolkata,Natural Calamity
2019-06-18,Hyderabad,Election
2019-07-01,Delhi,Economy
2020-08-11,Chennai,Health
2021-03-02,Mumbai,Economy
2018-08-12,Kolkata,Natural Calamity
2021-07-21,Mumbai,Natural Calamity
2018-11-04,Mumbai,Economy
2018-01-15,Kolkata,Economy
1991-09-06,Delhi,Economy
2020-06-07,Hyderabad,Economy
2018-01-25,Bangalore,Economy
2022-05-25,Chennai,Health
2022-07-20,Mumbai,Economy
2018-09-19,Mumbai,Social Issues
2022-06-11,Pune,Social Issues
1971-04-08,Bangalore,Health
2022-12-01,Hyderabad,Natural Calamity
2019-02-28,Mumbai,Social Issues
1988-08-03,Delhi,Natural Calamity
2022-03-16,Delhi,Social Issues
2014-01-10,Mumbai,Health
2019-01-04,Bangalore,Social Issues
2019-10-10,Mumbai,Economy
2020-09-28,Delhi,Election
2020-10-22,Bangalore,Natural Calamity
2021-12-07,Mumbai,Health
2021-04-12,Bangalore,Natural Calamity
2020-05-28,Pune,Health
2019-04-04,Bangalore,Health
2022-01-15,Chennai,Natural Calamity
2022-02-03,Hyderabad,Election
2021-06-27,Delhi,Health
2021-08-28,Ahmedabad,Economy
2020-08-11,Delhi,Election
2020-08-13,Mumbai,Economy
2021-11-08,Delhi,Health
1969-05-03,Delhi,Natural Calamity
2021-11-15,Jaipur,Health
1987-09-19,Delhi,Economy
2018-07-01,Bangalore,Natural Calamity
2019-02-20,Bangalore,Economy
2021-12-01,Pune,Natural Calamity
2019-09-15,Bangalore,Economy
2022-05-10,Delhi,Economy
2016-05-27,Hyderabad,Natural Calamity
2021-02-09,Hyderabad,Social Issues
2022-09-26,Delhi,Natural Calamity
2022-01-18,Mumbai,Health
2021-12-12,Delhi,Economy
2022-02-07,Delhi,Natural Calamity
2019-08-24,Delhi,Election
2020-01-01,Delhi,Health
2016-04-22,Mumbai,Economy
2020-08-28,Bangalore,Economy
2021-07-01,Chennai,Election
2020-08-13,Bangalore,Health
2017-10-12,Chennai,Election
2020-02-25,Mumbai,Election
2019-02-14,Mumbai,Health
2019-04-02,Bangalore,Natural Calamity
2020-06-17,Mumbai,Social Issues
2021-03-01,Hyderabad,Natural Calamity
2020-04-19,Mumbai,Health
2020-01-20,Hyderabad,Health
2019-06-17,Bangalore,Health
2015-12-24,Mumbai,Social Issues
2021-04-08,Hyderabad,Economy
2020-05-29,Pune,Natural Calamity
2022-12-21,Delhi,Election
2017-08-16,Bangalore,Economy
2020-04-26,Kolkata,Health
2022-09-21,Lucknow,Health
2019-06-17,Delhi,Health
2020-07-07,Delhi,Natural Calamity
2018-05-27,Pune,Economy
2021-09-13,Mumbai,Natural Calamity
2018-12-31,Mumbai,Health
2020-11-27,Delhi,Election
2020-08-27,Mumbai,Economy
2017-03-20,Delhi,Natural Calamity
2022-07-10,Delhi,Economy
2021-10-01,Mumbai,Health
2020-09-09,Pune,Economy
2021-03-22,Mumbai,Election
2020-10-16,Lucknow,Election
2022-01-05,Hyderabad,Economy
1987-02-13,Delhi,Social Issues
2017-12-12,Pune,Economy
2019-05-25,Ahmedabad,Economy
2019-01-13,Chennai,Economy
2020-05-01,Delhi,Natural Calamity
2020-12-29,Bangalore,Economy
2020-08-09,Ahmedabad,Election
2020-05-05,Bangalore,Natural Calamity
2022-08-09,Mumbai,Economy
2019-09-24,Delhi,Economy
2019-03-02,Delhi,Election
2021-04-29,Delhi,Natural Calamity
1999-11-15,Bangalore,Health
2020-04-10,Mumbai,Social Issues
2021-09-16,Delhi,Health
2021-07-25,Delhi,Economy
2020-03-28,Mumbai,Economy
2021-03-21,Mumbai,Natural Calamity
1999-10-05,Mumbai,Economy
2020-08-11,Bangalore,Health
2021-03-20,Delhi,Health
2020-05-07,Lucknow,Natural Calamity
2022-01-12,Delhi,Natural Calamity
2018-12-11,Chennai,Health
2021-01-19,Pune,Economy
2019-08-17,Kolkata,Economy
2021-08-09,Chennai,Natural Calamity
2022-01-04,Hyderabad,Natural Calamity
1967-08-04,Pune,Economy
2021-01-16,Chennai,Economy
2022-08-07,Bangalore,Health
2013-12-18,Hyderabad,Health
2020-09-19,Delhi,Natural Calamity
2018-02-25,Mumbai,Economy
2020-12-22,Pune,Natural Calamity
2019-07-16,Ahmedabad,Economy
2019-10-27,Chennai,Economy
2020-07-18,Delhi,Economy
2020-08-14,Hyderabad,Natural Calamity
2021-07-23,Delhi,Economy
2020-02-28,Delhi,Health
2022-03-20,Bangalore,Natural Calamity
2019-04-17,Hyderabad,Economy
1967-04-03,Mumbai,Economy
2017-02-28,Pune,Economy
2021-12-26,Pune,Natural Calamity
2017-07-17,Hyderabad,Economy
2021-01-15,Mumbai,Health
2015-04-24,Hyderabad,Natural Calamity
1998-05-26,Hyderabad,Economy
2022-04-23,Bangalore,Natural Calamity
2020-08-13,Delhi,Economy
1987-01-01,Chennai,Economy
1982-11-10,Hyderabad,Economy
2021-04-08,Hyderabad,Economy
2021-09-14,Mumbai,Social Issues
2021-08-08,Ahmedabad,Natural Calamity
2020-01-20,Delhi,Election
1987-04-27,Mumbai,Economy
2022-09-24,Pune,Economy
2017-04-27,Delhi,Economy
2019-08-30,Chennai,Natural Calamity
2020-11-17,Kolkata,Election
2021-12-01,Delhi,Natural Calamity
2020-08-11,Pune,Health
2021-06-15,Delhi,Health
2017-12-03,Delhi,Social Issues
2022-06-11,Delhi,Health
2022-04-27,Delhi,Health
2021-05-23,Bangalore,Health
2020-12-16,Delhi,Economy
2021-06-12,Bangalore,Natural Calamity
1908-04-08,Delhi,Economy
2021-05-18,Chennai,Health
2021-01-26,Delhi,Election
2020-09-21,Mumbai,Economy
2021-03-22,Delhi,Social Issues
2019-06-21,Kolkata,Natural Calamity
2018-02-01,Hyderabad,Health
2015-09-01,Kolkata,Health
1963-06-01,Bangalore,Economy
2019-04-16,Delhi,Health
2022-05-30,Mumbai,Health
2021-06-18,Hyderabad,Election
2021-06-19,Delhi,Social Issues
1987-01-03,Mumbai,Economy
2019-05-27,Delhi,Health
2020-05-26,Delhi,Economy
2023-01-18,Ahmedabad,Health
2019-06-13,Mumbai,Economy
2022-01-03,Bangalore,Economy
2019-04-15,Bangalore,Health
2017-11-10,Mumbai,Natural Calamity
2017-11-02,Mumbai,Health
2019-09-22,Hyderabad,Natural Calamity
1997-11-26,Mumbai,Election
2022-04-18,Bangalore,Economy
2020-08-27,Mumbai,Natural Calamity
2020-07-20,Delhi,Economy
1992-07-20,Mumbai,Economy
2022-03-30,Delhi,Economy
2020-08-20,Hyderabad,Economy
2020-09-08,Ahmedabad,Health
2019-07-27,Bangalore,Economy
2022-10-05,Delhi,Election
2021-01-31,Pune,Election
2020-06-01,Bangalore,Natural Calamity
2018-01-18,Delhi,Economy
2021-06-17,Bangalore,Health
2020-12-16,Hyderabad,Natural Calamity
2021-04-23,Hyderabad,Health
2021-03-29,Delhi,Health
2018-08-16,Bangalore,Natural Calamity
2022-03-01,Pune,Election
2021-02-02,Kolkata,Social Issues
1999-02-24,Delhi,Economy
2018-06-11,Delhi,Economy
2019-05-03,Bangalore,Economy
2021-03-13,Bangalore,Economy
2021-01-11,Delhi,Economy
2018-07-13,Bangalore,Health
2020-05-25,Delhi,Social Issues
2022-11-03,Mumbai,Election
1999-08-31,Delhi,Economy
2021-06-25,Chennai,Economy
2018-02-23,Hyderabad,Health
2022-02-27,Delhi,Economy
2021-01-04,Delhi,Economy
2022-02-22,Ahmedabad,Social Issues
2020-10-02,Delhi,Economy
2020-10-09,Delhi,Social Issues
2020-10-04,Ahmedabad,Natural Calamity
2020-04-04,Kolkata,Economy
2020-10-12,Delhi,Natural Calamity
2018-07-03,Hyderabad,Economy
2020-08-16,Delhi,Health
2019-09-18,Delhi,Health
2020-01-28,Kolkata,Natural Calamity
2021-05-15,Mumbai,Health
2020-02-25,Kolkata,Natural Calamity
2021-08-29,Bangalore,Natural Calamity
2020-09-06,Mumbai,Economy
2019-02-18,Mumbai,Social Issues
2018-07-25,Ahmedabad,Economy
2021-12-09,Delhi,Economy
2021-04-14,Kolkata,Social Issues
2021-06-18,Ahmedabad,Economy
2020-01-08,Kolkata,Health
2020-01-26,Mumbai,Election
2020-10-22,Hyderabad,Economy
2021-10-16,Hyderabad,Economy
2020-03-28,Delhi,Health
2020-12-21,Delhi,Economy
2019-11-12,Delhi,Economy
2020-02-08,Mumbai,Election
2019-01-11,Mumbai,Social Issues
2021-05-05,Delhi,Social Issues
2022-01-25,Bangalore,Health
2022-06-05,Pune,Natural Calamity
2020-07-09,Chennai,Health
2020-09-20,Delhi,Social Issues
2021-08-05,Mumbai,Economy
2020-10-18,Mumbai,Social Issues
2020-05-27,Delhi,Economy
2021-06-28,Mumbai,Health
2018-07-02,Mumbai,Economy
2021-01-13,Delhi,Economy
2020-09-05,Hyderabad,Economy
2019-04-14,Mumbai,Economy
2020-10-28,Mumbai,Economy
2018-07-01,Hyderabad,Economy
2020-09-04,Bangalore,Election
1900-01-01,Delhi,Health
1997-09-22,Mumbai,Natural Calamity
2019-02-22,Delhi,Social Issues
2020-02-10,Lucknow,Economy
